"answer","id_nilai","pegawai_id_pegawai","ampu_id_ampu","semester_id_semester","quest_1","quest_2","quest_3","quest_4","quest_5","quest_6","quest_7","quest_8","quest_9","quest_10","author"
" Oleh-olehnya dari Thailand mana bu? ","8864","215","259","20122","3","3","3","3","3","3","3","3","3","3","198"
" No coment ! ","8865","215","259","20122","3","2","3","2","2","3","2","3","2","3","198"
" Bu, jangan lupa oleh-oleh dari Thailand ya… ","8866","215","259","20122","4","4","4","4","4","4","4","4","4","4","198"
" Cara mengajarnya lebih ditingkatkan lagi ya… thanks ","8867","215","259","20122","3","3","3","3","3","3","3","3","3","3","198"
" Good lecturer! ","8868","215","259","20122","3","2","3","3","2","3","2","3","4","3","198"
" Apek! Good! Sae! ","8869","215","259","20122","3","2","3","3","2","2","3","4","3","3","198"
" Sangat memotivasi… matur nuwun pak… ","8888","230","475","20122","4","4","4","4","4","4","4","4","4","4","198"
" You are the best. ","8889","230","475","20122","4","4","4","4","4","2","4","4","4","4","198"
" Sangat menginspirasi isidari kuliahnya, banyak memberikan pengertian terhadap siswa. ","8890","230","475","20122","4","4","4","4","4","4","4","4","4","4","198"
" Istimewa !! ","8891","230","475","20122","4","4","4","4","4","4","4","4","4","4","198"
" No coment ! ","8892","230","475","20122","3","3","3","3","3","3","3","3","3","3","198"
" Good Job !! ","8893","230","475","20122","4","4","4","4","4","3","3","3","4","3","198"
" Dosen berkompeten, saya menyukai bahkan sangat menyukai. ","8894","230","475","20122","4","3","4","4","3","4","3","4","4","3","198"
" No coment ! ","8895","230","475","20122","4","4","4","4","4","4","4","4","4","4","198"
" Bagus ","8896","230","475","20122","4","4","4","4","4","3","4","4","3","4","198"
" No coment ! ","8897","230","475","20122","4","4","4","4","4","4","4","4","4","4","198"
" Very Good !!! ","8898","230","475","20122","4","4","4","4","4","4","4","4","4","4","198"
" Anda sangat baik cocok jadi komedian. ","8899","230","475","20122","4","4","4","4","4","4","4","4","4","4","198"
" Sumber materi kurang jelas dan sulit di cari ","8918","212","338","20122","4","3","3","3","3","3","2","3","3","2","198"
" Pertahankan ","8919","212","338","20122","3","4","4","3","3","4","2","4","3","3","198"
" Sudah bagus bu, tolong lebih ditingkatkan lagi. ","8920","212","338","20122","4","4","4","4","3","4","3","3","3","3","198"
" Jangan memojokan mahasiswa yang nilainya jelek ","8921","212","338","20122","4","4","3","2","3","3","2","2","3","4","198"
" Tolong memberikan kisi-kisi yang jelas. ","8922","212","338","20122","3","3","3","4","3","4","2","3","3","3","198"
" Kurang meningkatkan minat belajar, cerewet. ","8923","212","338","20122","3","3","2","2","3","3","1","2","3","3","198"
" Cukup cerewet! ","8924","212","338","20122","4","3","2","3","3","4","2","2","3","3","198"
" Mohon mengakhiri kuliah susuai jadwal. ","8925","212","338","20122","2","3","2","3","3","4","1","3","3","1","198"
" Thank! ","8926","212","338","20122","4","3","2","4","4","4","1","1","1","2","198"
" Terlalu… ","8927","212","338","20122","3","3","3","3","3","4","2","2","3","3","198"
" Dari pada kososng ","8928","212","338","20122","3","3","3","2","2","3","2","2","3","2","198"
" Usahakan dalam memberikan nilai jangan terlalu sadis. ","8929","212","338","20122","3","3","3","3","3","3","3","3","3","3","198"
" jangan mempublikasikan nilai-nilai yang jelek! ","8930","212","338","20122","4","3","3","4","3","2","4","3","4","3","198"
" Hip hip hura hura uuuuu ","8931","212","338","20122","2","4","3","4","3","2","3","3","3","3","198"
" Lanjutkan ! ","8932","212","338","20122","3","3","3","3","4","2","3","3","3","3","198"
" Super sekali… ","8948","229","471","20122","4","4","4","4","4","4","4","4","4","4","198"
" Sudah bagus ","8949","229","471","20122","3","4","4","4","4","3","3","4","3","3","198"
" Good ","8952","229","471","20122","4","4","4","4","4","4","4","4","4","4","198"
" Sangat bagus dalam mengajarkan bacaan-bacaan IQRA ","8953","229","471","20122","4","4","4","4","4","4","4","4","4","4","198"
" Good Job ","8954","229","471","20122","3","4","4","3","3","3","4","4","4","4","198"
" Semangat adja buat bapak. ","8955","229","471","20122","3","3","3","3","3","3","3","3","3","3","198"
"Ngaji","8956","229","471","20122","3","3","3","3","3","3","3","3","3","3","198"
" Subhanallah ","8957","229","471","20122","4","4","4","4","4","4","4","2","2","4","198"
" Tolong lebih menarik lagi dalam penyampaiannya supaya lebih menarik. ","8958","229","471","20122","4","4","4","3","3","3","4","3","3","3","198"
" Lanjutkan dan pertahankan !! ","8959","229","471","20122","4","3","4","4","4","2","4","3","4","4","198"
" Kelas yang menyenangkan ","8978","124","327","20122","4","4","3","4","4","2","4","4","4","4","198"
"Joss","8979","124","327","20122","4","4","4","4","4","4","4","4","4","4","198"
" Lanjutkan perjuangan. ","8980","124","327","20122","4","3","3","4","2","1","2","3","3","3","198"
" No coment ","8981","124","327","20122","4","4","4","4","4","4","4","4","4","4","198"
" Bagus… mantab ","8982","124","327","20122","4","4","4","4","4","4","4","4","4","4","198"
" Pertahankan dan tingkatkan pak! ","8983","124","327","20122","4","4","3","4","3","2","3","3","3","3","198"
" Jangan menyerah, sampaikan dakwahmu ","8984","124","327","20122","3","3","4","4","4","3","3","4","4","4","198"
" Keep Spirit ","8985","124","327","20122","4","4","4","4","4","3","4","3","4","4","198"
" Metode pengajaran ""super sekali"" ","8986","124","327","20122","4","4","4","4","4","2","4","4","4","4","198"
" Lanjutkan perjuangan dalam berdakwah ","8987","124","327","20122","3","3","4","3","2","2","2","3","3","3","198"
" Bagi dosen yang bersangkutan dipertahankan. ","9008","186","351","20122","4","4","4","4","4","4","4","4","4","4","198"
"Good Job !!","9009","186","351","20122","4","4","4","4","4","4","4","4","4","4","198"
" Tidak ada tugas soalnya ","9010","186","351","20122","4","4","2","4","4","1","4","2","4","4","198"
" Good Job ","9038","185","357","20122","3","3","3","4","3","4","3","3","3","3","198"
" Mutu pembelajaran di tingkatkan ","9039","185","357","20122","3","4","3","3","4","3","3","3","3","3","198"
"Bagus..","9040","185","357","20122","3","2","3","4","3","3","4","3","2","3","198"
" Lanjutkan!! ","9068","180","356","20122","4","3","4","4","3","4","4","4","3","4","198"
" Teruskan ! ","9069","180","356","20122","4","4","3","4","3","3","3","3","4","4","198"
" Ibunya mudah tersinggung dan tidak bisa menguasai kelas. ","9070","180","356","20122","3","3","3","3","3","2","2","2","2","3","198"
" Sabar ya bu… ","9071","180","356","20122","3","3","3","3","3","3","3","3","3","3","198"
" Tidak bisa mengontrol diri ","9072","180","356","20122","3","3","3","3","3","3","3","3","3","3","198"
" Sebaiknya dosen memberikan maeri dengan penuh ikhlas ","9073","180","356","20122","3","3","3","3","3","3","3","3","3","3","198"
" Dari tahun ke tahun hampir sama apa? ","9074","180","356","20122","3","2","3","4","3","2","4","2","3","2","198"
" Dosen sering tidak berangkat, penguasaan ruang kelas kurang, sulit menambah nilai. ","9075","180","356","20122","3","2","2","3","3","3","3","2","1","3","198"
" Dosenya enggak enak, harus bisa mengimbangi mahasiswanya ","9076","180","356","20122","2","3","2","3","2","3","3","2","3","2","198"
" Good Jobs ","9098","114","405","20122","4","4","4","4","4","4","4","4","4","4","198"
" Lanjutkan ","9099","114","405","20122","3","3","3","4","3","3","3","2","2","3","198"
" Budayakan dosen seperti pak Harto ","9100","114","405","20122","4","4","4","4","4","4","4","4","4","3","198"
" Still Ok fine ","9101","114","405","20122","4","4","4","4","4","4","4","4","4","4","198"
" Tingkatkan bpak rajin ","9102","114","405","20122","4","4","4","4","4","4","3","4","4","4","198"
"Lanjutkan","9105","114","405","20122","4","4","4","4","4","4","4","4","4","4","198"
" ","9106","114","405","20122","4","4","4","4","2","4","4","3","4","4","198"
" Semoga Allah memberi pahala yang besar kepada bapak, amin. ","9107","114","405","20122","4","4","4","4","4","4","4","4","4","4","198"
" Ketegasan kepada mahasiswa agar tidak banyak yang keluar masuk kelas, UAS OK ","9116","114","405","20122","3","3","3","3","3","2","3","2","3","2","198"
"Lanjutkan","9118","114","405","20122","4","4","3","4","3","3","4","4","4","4","198"
" Tetap tingkatkan ","9130","188","378","20122","4","4","4","4","4","4","4","4","4","4","198"
" Lebih ditingkatkan ","9134","141","463","20122","4","3","4","4","3","2","3","3","4","3","198"
"OK","9175","114","362","20122","4","4","4","4","4","4","4","4","4","4","198"
" Lanjutkan ","9178","114","362","20122","4","4","3","3","4","4","3","4","3","4","198"
" Lebih bersabar lagi menghadapi mahasiswa karena kesabaran dapat melatih diri kita menjadi lebih baik ","9185","114","362","20122","4","4","4","4","4","3","4","4","4","4","198"
" Bagus ","9223","220","418","20122","3","4","3","4","4","1","2","3","3","3","198"
" No coment ","9225","220","418","20122","4","4","4","4","3","1","1","3","3","3","198"
" Sangat bersemangat ","9226","220","418","20122","4","4","3","4","3","1","2","3","3","3","198"
" Sangat menyenangkan kuliah sertifikasi 4 ini sering diskusi, dan mahasiswanya sedikit enak jadinya ","9230","220","418","20122","4","4","3","4","3","1","3","4","3","4","198"
" Kalau bisa waktu sertikasi 4 jangan terlalu singkat ","9231","220","418","20122","4","4","4","4","3","3","2","3","3","3","198"
" Bagus ","9232","220","418","20122","3","3","4","4","4","1","4","4","3","4","198"
" I like this ","9233","220","418","20122","4","3","3","4","3","1","3","4","3","3","198"
" Lebih baik lagi untuk kedepannya ","9234","220","418","20122","3","3","3","4","3","2","4","3","3","3","198"
" Subhanallah ","9237","220","418","20122","3","4","3","4","3","1","2","3","4","3","198"
" Dapat memahamiilmu dakwah lebih dalam ","9238","220","418","20122","4","4","4","4","3","4","2","3","3","3","198"
" Kul sertifikasi Asyik… menambah ilmu pengetahuan tentang islam ","9241","220","418","20122","4","4","4","4","4","1","4","4","4","4","198"
"it's very good","9242","220","418","20122","4","3","3","4","3","2","3","4","3","3","198"
" Kuliahnya asyik, keren… ","9243","220","418","20122","3","4","3","4","4","2","3","4","3","3","198"
" mengasyikkan ","9244","220","418","20122","3","4","3","4","4","3","4","4","4","3","198"
"Luar biasa","9246","220","418","20122","3","3","3","3","3","3","3","3","3","3","198"
" Dapat praktik khutbah ","9248","220","418","20122","4","4","4","4","4","1","2","4","3","4","198"
" Dapat memahami ilmu dakwah dan implikasi dalam kehidupan sehari-hari ","9250","220","418","20122","4","4","3","4","4","2","4","4","4","4","198"
